industry_anzsic4_code,industry_anzsic4_description,longitude,latitude
4512,Takeaway Food Services,144.96729235995,-37.80262811980231
4511,Cafes and Restaurants,144.96672301141672,-37.80378304395
4511,Cafes and Restaurants,144.96667958005438,-37.8040367838
4511,Cafes and Restaurants,144.96670202450002,-37.80443770225933
4511,Cafes and Restaurants,144.9660867199495,-37.8038476141
4512,Takeaway Food Services,144.9654725569,-37.80671423516967
4511,Cafes and Restaurants,144.96118327745,-37.796775432262365
4511,Cafes and Restaurants,144.94890811749102,-37.804302418
4511,Cafes and Restaurants,144.94847510593382,-37.8027132516
4511,Cafes and Restaurants,144.9484230454651,-37.79508408675
4511,Cafes and Restaurants,144.94972582967333,-37.8043561846
4511,Cafes and Restaurants,144.95014549925,-37.804967379732986
4512,Takeaway Food Services,144.9543392604,-37.80537857559884
4511,Cafes and Restaurants,144.954318084236,-37.7997296026
4511,Cafes and Restaurants,144.95400711221734,-37.79936515295
4511,Cafes and Restaurants,144.9527070063923,-37.7984422874
4511,Cafes and Restaurants,144.95137608599526,-37.80564242105
4511,Cafes and Restaurants,144.94778988152976,-37.8081111108
4511,Cafes and Restaurants,144.9757166954983,-37.8354852693
4511,Cafes and Restaurants,144.9802819032385,-37.84658907795
4511,Cafes and Restaurants,144.9635826319669,-37.82348398275
4511,Cafes and Restaurants,144.9820354792,-37.83431310932447
4400,Accommodation,144.95881538955987,-37.78289819395
4512,Takeaway Food Services,144.92234829860743,-37.8112105434
4520,"Pubs, Taverns and Bars",144.9602499735,-37.81190053745877
4511,Cafes and Restaurants,144.9573593037722,-37.8120900551
4511,Cafes and Restaurants,144.9643588506305,-37.81143183285
4400,Accommodation,144.96807753685562,-37.8089536735
4511,Cafes and Restaurants,144.97102355254998,-37.80816685128649
4512,Takeaway Food Services,144.9634152524011,-37.809455816
4511,Cafes and Restaurants,144.96023808784668,-37.80880976685
4511,Cafes and Restaurants,144.96637797302736,-37.79685794455
4511,Cafes and Restaurants,144.96788005985002,-37.80059709341719
4511,Cafes and Restaurants,144.96510407331394,-37.8007707279
4511,Cafes and Restaurants,144.96650524933202,-37.80144757055
4511,Cafes and Restaurants,144.96065957331285,-37.80606214315
4520,"Pubs, Taverns and Bars",144.9656985705975,-37.8061994594
4511,Cafes and Restaurants,144.94713850214998,-37.80252653491923
4511,Cafes and Restaurants,144.94900079025,-37.80475134110298
4511,Cafes and Restaurants,144.94920600297542,-37.80360281475
4511,Cafes and Restaurants,144.9494611268573,-37.80245669215
4512,Takeaway Food Services,144.9496469571966,-37.80471301525
4511,Cafes and Restaurants,144.95369625715,-37.80409743133234
4511,Cafes and Restaurants,144.956379091501,-37.8056968409
4511,Cafes and Restaurants,144.95739047566423,-37.80580418045
4511,Cafes and Restaurants,144.95772344215,-37.80584226598827
4520,"Pubs, Taverns and Bars",144.94995539701253,-37.8028777439
4511,Cafes and Restaurants,144.9551774613426,-37.80067720135
4520,"Pubs, Taverns and Bars",144.95409885643846,-37.80143001585
4511,Cafes and Restaurants,144.9455775338808,-37.80800427165
4520,"Pubs, Taverns and Bars",144.9510471708,-37.80556551097989
4511,Cafes and Restaurants,144.94863382951405,-37.80883478765
4511,Cafes and Restaurants,144.9524047577,-37.80752070579078
4511,Cafes and Restaurants,144.9542533576,-37.80591867056111
4512,Takeaway Food Services,144.92990028836095,-37.7996034328
4512,Takeaway Food Services,144.92990028836095,-37.7996034328
4520,"Pubs, Taverns and Bars",144.92834530309514,-37.794442107250006
4512,Takeaway Food Services,144.9855915414598,-37.81618525805
4511,Cafes and Restaurants,144.9873076192,-37.816349484645286
4511,Cafes and Restaurants,144.98483488812698,-37.8160871246
4511,Cafes and Restaurants,144.97574582164583,-37.8116227926
4511,Cafes and Restaurants,144.9824560052769,-37.82484857355
4512,Takeaway Food Services,144.97619479875,-37.83626982632994
4512,Takeaway Food Services,144.97987060014765,-37.8455571079
4512,Takeaway Food Services,144.96714351895767,-37.82651790535
4511,Cafes and Restaurants,144.96817034075002,-37.82094204031448
4511,Cafes and Restaurants,144.96630307635638,-37.82071819175
4511,Cafes and Restaurants,144.96630307635638,-37.82071819175
4511,Cafes and Restaurants,144.96630307635638,-37.82071819175
4511,Cafes and Restaurants,144.97855578386498,-37.84188069845
4512,Takeaway Food Services,144.97928842385716,-37.84459257985
4511,Cafes and Restaurants,144.97928842385716,-37.84459257985
4511,Cafes and Restaurants,144.90416885075,-37.82536579911785
4511,Cafes and Restaurants,144.92087320860645,-37.8260597946
4511,Cafes and Restaurants,144.9628667411883,-37.82103934955
4511,Cafes and Restaurants,144.95231930285,-37.82542998795
8101,Technical and Vocational Education and Training,144.96090633511037,-37.8243599276
4511,Cafes and Restaurants,144.96625827535,-37.82261356490605
4511,Cafes and Restaurants,144.98194569975,-37.83430092544384
4400,Accommodation,144.95881538955987,-37.78289819395
4511,Cafes and Restaurants,144.95667139011434,-37.800185429
4511,Cafes and Restaurants,144.95667139011434,-37.800185429
4511,Cafes and Restaurants,144.9495226105,-37.793631051343525
4512,Takeaway Food Services,144.9105995425041,-37.803807598350005
4511,Cafes and Restaurants,144.94493865055,-37.81399452015189
4511,Cafes and Restaurants,144.94673841328802,-37.8138258313
4511,Cafes and Restaurants,144.94936462985,-37.81714506566416
4512,Takeaway Food Services,144.94735092900342,-37.81812972055
4511,Cafes and Restaurants,144.9502450218,-37.81865753823454
4511,Cafes and Restaurants,144.945079983583,-37.81885105
4511,Cafes and Restaurants,144.9439708962,-37.8192660434285
4511,Cafes and Restaurants,144.94469069475525,-37.8199481825
4511,Cafes and Restaurants,144.94570130868357,-37.82206262355
4511,Cafes and Restaurants,144.94506260846123,-37.81970438935
4511,Cafes and Restaurants,144.94123862893565,-37.8146047014
4511,Cafes and Restaurants,144.93958160663215,-37.8152440667
4512,Takeaway Food Services,144.93958160663215,-37.8152440667
4512,Takeaway Food Services,144.93799836630816,-37.8132875163
4511,Cafes and Restaurants,144.93005109097055,-37.79405257505
4511,Cafes and Restaurants,144.965348357,-37.81769206439358
4511,Cafes and Restaurants,144.96670433318764,-37.81674246265
4511,Cafes and Restaurants,144.95572468102446,-37.8190200855
4511,Cafes and Restaurants,144.95913953984214,-37.81857938464999
4511,Cafes and Restaurants,144.9639140199169,-37.81718534175
4511,Cafes and Restaurants,144.96582950754998,-37.8160618382998
4511,Cafes and Restaurants,144.96831281555,-37.81564701747581
4512,Takeaway Food Services,144.9574758159,-37.81756267366522
4511,Cafes and Restaurants,144.96009729851846,-37.816395712
4512,Takeaway Food Services,144.96081186462072,-37.816154899500006
4511,Cafes and Restaurants,144.9672766257,-37.81485204470721
4511,Cafes and Restaurants,144.9693156901375,-37.81400034895
4511,Cafes and Restaurants,144.9732576387,-37.81314318496538
4511,Cafes and Restaurants,144.95781378501067,-37.81636534845
4512,Takeaway Food Services,144.95781378501067,-37.81636534845
4511,Cafes and Restaurants,144.9570178258,-37.81647455953859
4512,Takeaway Food Services,144.9601098028,-37.81596941067596
4511,Cafes and Restaurants,144.9617411281,-37.81560564160144
4520,"Pubs, Taverns and Bars",144.9672985356574,-37.8132801326
4511,Cafes and Restaurants,144.9675811687,-37.81390744936704
4520,"Pubs, Taverns and Bars",144.971441857,-37.81280974337804
4511,Cafes and Restaurants,144.95426135562008,-37.813810954
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.95270242901137,-37.8133052201
4511,Cafes and Restaurants,144.9598616858,-37.81146051927614
4511,Cafes and Restaurants,144.96093794495,-37.81127539640091
4511,Cafes and Restaurants,144.96283887063584,-37.8109017475
4512,Takeaway Food Services,144.96283887063584,-37.8109017475
4511,Cafes and Restaurants,144.96283887063584,-37.8109017475
4512,Takeaway Food Services,144.96283887063584,-37.8109017475
4512,Takeaway Food Services,144.9643588506305,-37.81143183285
4400,Accommodation,144.9679210391511,-37.8090520385
4511,Cafes and Restaurants,144.9687047572665,-37.8086991183
4512,Takeaway Food Services,144.96697154542596,-37.80966443225
4511,Cafes and Restaurants,144.95359893989996,-37.81229605575
4511,Cafes and Restaurants,144.95821189895395,-37.81022016625
4129,Other Specialised Food Retailing,144.96084965185,-37.81001419111698
4511,Cafes and Restaurants,144.96084965185,-37.81001419111698
4511,Cafes and Restaurants,144.96318266853086,-37.8089556346
4511,Cafes and Restaurants,144.96261025448487,-37.80894116045
4400,Accommodation,144.956120153,-37.8103226792803
4511,Cafes and Restaurants,144.96023808784668,-37.80880976685
4512,Takeaway Food Services,144.95956878425,-37.80904348781743
4511,Cafes and Restaurants,144.95694810827098,-37.8076248221
4511,Cafes and Restaurants,144.95694810827098,-37.8076248221
4400,Accommodation,144.96081552815,-37.80741705043698
4520,"Pubs, Taverns and Bars",144.96162023070002,-37.8075189651329
4511,Cafes and Restaurants,144.9537825432986,-37.8225810113
4511,Cafes and Restaurants,144.96655286235642,-37.8004575147
4511,Cafes and Restaurants,144.96655286235642,-37.8004575147
4511,Cafes and Restaurants,144.96707784853012,-37.7981798782
4512,Takeaway Food Services,144.9681638731,-37.79698197719558
4511,Cafes and Restaurants,144.9703210845949,-37.7969216122
4511,Cafes and Restaurants,144.9687074622421,-37.7975060627
4512,Takeaway Food Services,144.96848991734998,-37.79857376164314
4511,Cafes and Restaurants,144.9683843376,-37.797529236432425
4511,Cafes and Restaurants,144.96395709253497,-37.8059263919
4511,Cafes and Restaurants,144.9664417701175,-37.80566959525
4511,Cafes and Restaurants,144.9612087442,-37.79677169577826
4511,Cafes and Restaurants,144.9612087442,-37.79677169577826
4512,Takeaway Food Services,144.9612087442,-37.79677169577826
4511,Cafes and Restaurants,144.96051375820218,-37.7930761991
4511,Cafes and Restaurants,144.94713850214998,-37.80252653491923
4511,Cafes and Restaurants,144.94906743243743,-37.80390992625
4511,Cafes and Restaurants,144.94940563252857,-37.80260781355
4512,Takeaway Food Services,144.9496469571966,-37.80471301525
4511,Cafes and Restaurants,144.94968091624995,-37.80491632358246
4511,Cafes and Restaurants,144.95812421068257,-37.8046072311
4511,Cafes and Restaurants,144.95814354208187,-37.804394424600005
4511,Cafes and Restaurants,144.9514856841173,-37.8028418476
4511,Cafes and Restaurants,144.95009565566312,-37.8022349126
4520,"Pubs, Taverns and Bars",144.94995539701253,-37.8028777439
4512,Takeaway Food Services,144.9500268711638,-37.80247625545
4511,Cafes and Restaurants,144.94490499745,-37.806431510868045
4520,"Pubs, Taverns and Bars",144.94827728884178,-37.8084476696
4511,Cafes and Restaurants,144.94863382951405,-37.80883478765
4511,Cafes and Restaurants,144.95394746940002,-37.80588222572008
4520,"Pubs, Taverns and Bars",144.95263595951118,-37.8089020588
4511,Cafes and Restaurants,144.94975136220006,-37.80931286515
4512,Takeaway Food Services,144.91683352615,-37.80088043885976
9121,Horse and Dog Racing Administration and Track Operation,144.9127013784007,-37.7890676247
4110,Supermarket and Grocery Stores,144.98871195975,-37.814818113399255
4512,Takeaway Food Services,144.9855915414598,-37.81618525805
4511,Cafes and Restaurants,144.98596099654998,-37.81622383356243
4511,Cafes and Restaurants,144.98742723555,-37.81636293607892
4511,Cafes and Restaurants,144.9856242136076,-37.81004733425
4400,Accommodation,144.9853028460347,-37.81337466405
4400,Accommodation,144.98349853870505,-37.81582309925
4511,Cafes and Restaurants,144.98451409825,-37.81593642791464
4511,Cafes and Restaurants,144.98483488812698,-37.8160871246
4511,Cafes and Restaurants,144.9781207763674,-37.809044500400006
4511,Cafes and Restaurants,144.97567152833767,-37.81280015315
4511,Cafes and Restaurants,144.9824560052769,-37.82484857355
4511,Cafes and Restaurants,144.97704370947372,-37.83774643885
4511,Cafes and Restaurants,144.97987060014765,-37.8455571079
4511,Cafes and Restaurants,144.97987060014765,-37.8455571079
4511,Cafes and Restaurants,144.98037834866545,-37.84685300095
4400,Accommodation,144.9573512903071,-37.8278377219
4511,Cafes and Restaurants,144.96787675627007,-37.8241402149
4511,Cafes and Restaurants,144.96695911295785,-37.827127803
4511,Cafes and Restaurants,144.96795880345957,-37.8299824283
4511,Cafes and Restaurants,144.969413809794,-37.8245347342
4511,Cafes and Restaurants,144.96862693658863,-37.82273792685
4511,Cafes and Restaurants,144.96630309077528,-37.82071820925
4511,Cafes and Restaurants,144.96630309077528,-37.82071820925
4511,Cafes and Restaurants,144.96630309077528,-37.82071820925
4511,Cafes and Restaurants,144.96710869280946,-37.8203821307
4511,Cafes and Restaurants,144.97855578386498,-37.84188069845
4511,Cafes and Restaurants,144.94320243257775,-37.82430945765
4511,Cafes and Restaurants,144.91884271235062,-37.82228359845
4511,Cafes and Restaurants,144.92087320861043,-37.8260597946
4511,Cafes and Restaurants,144.92087320861043,-37.8260597946
4511,Cafes and Restaurants,144.92087320861043,-37.8260597946
4511,Cafes and Restaurants,144.92087320861043,-37.8260597946
4511,Cafes and Restaurants,144.91710060910307,-37.829899924900005
4511,Cafes and Restaurants,144.97043153980002,-37.81629900749871
4511,Cafes and Restaurants,144.97137050245,-37.81593735798856
4511,Cafes and Restaurants,144.97283527125,-37.81485549695003
4520,"Pubs, Taverns and Bars",144.9606526789389,-37.8175282385
4511,Cafes and Restaurants,144.96279108305,-37.81729659038814
4511,Cafes and Restaurants,144.9639140199169,-37.81718534175
4511,Cafes and Restaurants,144.9639140199169,-37.81718534175
4511,Cafes and Restaurants,144.96559654045,-37.81660289619204
4512,Takeaway Food Services,144.96559654045,-37.81660289619204
4511,Cafes and Restaurants,144.96559654045,-37.81660289619204
4520,"Pubs, Taverns and Bars",144.96559654045,-37.81660289619204
4511,Cafes and Restaurants,144.9663261592912,-37.815840386000005
4511,Cafes and Restaurants,144.9663261592912,-37.815840386000005
4511,Cafes and Restaurants,144.96582950754998,-37.8160618382998
4512,Takeaway Food Services,144.96596362095,-37.81649322316149
4511,Cafes and Restaurants,144.96770660785,-37.81546685879583
4511,Cafes and Restaurants,144.97262557265284,-37.81430518125
4512,Takeaway Food Services,144.95435075675,-37.81867521100554
4511,Cafes and Restaurants,144.95435075675,-37.81867521100554
4511,Cafes and Restaurants,144.95436479768804,-37.81818416285
4511,Cafes and Restaurants,144.9568112744,-37.81770351484376
4400,Accommodation,144.95795311040456,-37.81765020845
4512,Takeaway Food Services,144.9594432475203,-37.8173045178
4511,Cafes and Restaurants,144.9594432475203,-37.8173045178
4511,Cafes and Restaurants,144.96009729851846,-37.816395712
4511,Cafes and Restaurants,144.95954996381323,-37.81660735525
4511,Cafes and Restaurants,144.96081186462072,-37.816154899500006
4511,Cafes and Restaurants,144.9634106940008,-37.8161087511
4512,Takeaway Food Services,144.96330054055,-37.815577516659154
4511,Cafes and Restaurants,144.96299531095,-37.81569828028916
4512,Takeaway Food Services,144.96299531095,-37.81569828028916
4511,Cafes and Restaurants,144.96418214767343,-37.8159129499
4520,"Pubs, Taverns and Bars",144.9656017104,-37.81483197706808
4512,Takeaway Food Services,144.96522548615002,-37.81507422507663
4520,"Pubs, Taverns and Bars",144.96784765085,-37.81450292003549
4511,Cafes and Restaurants,144.9699104238,-37.8140128186636
4511,Cafes and Restaurants,144.9693156901375,-37.81400034895
4511,Cafes and Restaurants,144.9702869013,-37.81401767523767
4511,Cafes and Restaurants,144.9702869013,-37.81401767523767
4530,Clubs (Hospitality),144.9721130594,-37.813248834110496
4511,Cafes and Restaurants,144.97239238679998,-37.81279950497861
4512,Takeaway Food Services,144.953929733017,-37.8177722277
4511,Cafes and Restaurants,144.9570178258,-37.81647455953859
4511,Cafes and Restaurants,144.95710995453825,-37.8168797463
4400,Accommodation,144.9595844372,-37.81588561749844
4511,Cafes and Restaurants,144.9601098028,-37.81596941067596
4520,"Pubs, Taverns and Bars",144.9605335688197,-37.8154953765
4511,Cafes and Restaurants,144.96292154949998,-37.81492943947073
4511,Cafes and Restaurants,144.9626384508,-37.8152801785277
4129,Other Specialised Food Retailing,144.9612980901,-37.8156545827957
4511,Cafes and Restaurants,144.9639640607,-37.81438773817147
4511,Cafes and Restaurants,144.966619556,-37.81373785326741
4511,Cafes and Restaurants,144.966619556,-37.81373785326741
4511,Cafes and Restaurants,144.9675811687,-37.81390744936704
4511,Cafes and Restaurants,144.97010937553796,-37.81281419155
4512,Takeaway Food Services,144.97110725798018,-37.8124024255
4511,Cafes and Restaurants,144.95739203651306,-37.81531893965
4511,Cafes and Restaurants,144.9587722405,-37.81494328910046
4511,Cafes and Restaurants,144.9587722405,-37.81494328910046
4511,Cafes and Restaurants,144.96022419863118,-37.81467981030001
4511,Cafes and Restaurants,144.9582198443308,-37.8149175538
4511,Cafes and Restaurants,144.96173824055,-37.81422024016241
4511,Cafes and Restaurants,144.96267117665482,-37.81411293915
4511,Cafes and Restaurants,144.96254790810377,-37.8135402584
4511,Cafes and Restaurants,144.96178171780002,-37.81367164858022
4511,Cafes and Restaurants,144.961393924,-37.81379737893873
4511,Cafes and Restaurants,144.96328859745,-37.81360351065664
4511,Cafes and Restaurants,144.96382711175,-37.81344773002312
4511,Cafes and Restaurants,144.9672689638,-37.812419039991525
4511,Cafes and Restaurants,144.9672689638,-37.812419039991525
4511,Cafes and Restaurants,144.9672689638,-37.812419039991525
4511,Cafes and Restaurants,144.9676472887188,-37.8124662829
4520,"Pubs, Taverns and Bars",144.97024358695,-37.81191580692429
4520,"Pubs, Taverns and Bars",144.9699123893894,-37.81128978625
4511,Cafes and Restaurants,144.96927312885,-37.81147787215507
4511,Cafes and Restaurants,144.96820630246282,-37.8123200498
4511,Cafes and Restaurants,144.97084640375,-37.81173059155277
4511,Cafes and Restaurants,144.97107535285,-37.81166903588497
4511,Cafes and Restaurants,144.97101379370002,-37.81143031179083
4511,Cafes and Restaurants,144.97150588717997,-37.8108360072
4511,Cafes and Restaurants,144.97136312380002,-37.81092016920242
4512,Takeaway Food Services,144.95485890994968,-37.815149569400006
4511,Cafes and Restaurants,144.9536079679469,-37.81541879235
4511,Cafes and Restaurants,144.95530902931483,-37.81478619225
4511,Cafes and Restaurants,144.95706517280095,-37.81464580315
4511,Cafes and Restaurants,144.95990660335167,-37.81386712285
4511,Cafes and Restaurants,144.9597518208,-37.81355872490104
4511,Cafes and Restaurants,144.96392893701363,-37.81247035035
4511,Cafes and Restaurants,144.96392893701363,-37.81247035035
4512,Takeaway Food Services,144.96392893701363,-37.81247035035
4511,Cafes and Restaurants,144.96392893701363,-37.81247035035
4511,Cafes and Restaurants,144.96692568425,-37.81185619915
4511,Cafes and Restaurants,144.96713000335,-37.811855439213446
4511,Cafes and Restaurants,144.9671361576308,-37.8113426628
4511,Cafes and Restaurants,144.96925328869995,-37.81049413885108
4511,Cafes and Restaurants,144.9679605734296,-37.81133821925
4511,Cafes and Restaurants,144.97048167014998,-37.81047470300823
4511,Cafes and Restaurants,144.9711821656,-37.81059080656873
4511,Cafes and Restaurants,144.95431258044016,-37.8139197792
4511,Cafes and Restaurants,144.95639699085,-37.8131116648466
4511,Cafes and Restaurants,144.95600158025002,-37.81346261063083
4511,Cafes and Restaurants,144.9603413046,-37.811874044517
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.965725053002,-37.81067861705
4511,Cafes and Restaurants,144.96890527900297,-37.809382519500005
4511,Cafes and Restaurants,144.9673695447446,-37.81056735515
